YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR
2000,8,28,26.3,24.74,25.28,29
2000,8,29,28.31,24.75,26.23,53.34
2000,8,30,28.25,24.82,26.23,19.54
2000,8,31,26.23,24.58,25.32,10.45
2000,9,1,25.41,24.32,24.7,4.39
2000,9,2,26.49,24.1,24.89,9.6
2000,9,3,25.49,23.51,24.52,3.38
2000,9,4,26.54,23.87,25.15,0.71
2000,9,5,25.62,24.75,25.06,6.2
2000,9,6,26.18,24.52,25.1,2.43
2000,9,7,27.11,24.31,25.48,7.2
2000,9,8,28.6,24.42,26,5.39
2000,9,9,26.23,23.91,24.75,18.65
2000,9,10,25.68,23.84,24.55,18.69
2000,9,11,25.93,24.29,24.91,3.59
2000,9,12,25.62,24.09,24.83,5.64
2000,9,13,26.02,23.97,24.9,2.51
2000,9,14,26.41,24.31,25.01,7.61
2000,9,15,25.5,23.66,24.51,22.7
2000,9,16,26.37,23.46,24.69,4.24
2000,9,17,25.76,23.8,24.69,6.48
2000,9,18,26.93,23.87,25.21,9.56
2000,9,19,26.34,24.17,25.13,9.73
2000,9,20,26.95,23.72,25.19,6.03
2000,9,21,25.41,23.99,24.65,0.43
2000,9,22,27.67,24.01,25.55,0.26
2000,9,23,27.39,24.55,25.6,2.46
2000,9,24,25.78,24.45,25.12,11.75
2000,9,25,25.48,23.52,24.44,13.56
2000,9,26,25.72,23.5,24.5,1.39
2000,9,27,25.55,23.57,24.53,2.37
2000,9,28,25.79,24.34,24.88,14.89
2000,9,29,25,23.36,24.16,23.52
2000,9,30,24.79,23.15,23.83,3.19
2000,10,1,25.28,23.51,24.21,5.42
2000,10,2,25.42,23.45,24.38,1.6
2000,10,3,26.35,23.76,24.76,1.48
2000,10,4,26.58,24.01,25.02,6.65
2000,10,5,25.98,24,24.8,7.8
2000,10,6,27.21,23.72,25.25,1.06
2000,10,7,27.17,23.93,25.34,0.54
2000,10,8,27.68,24.29,25.7,2.3
2000,10,9,27.76,23.96,25.56,1.45
2000,10,10,27.38,23.2,25.14,3.17
2000,10,11,26.87,23.6,25.09,0.45
2000,10,12,27.26,24.36,25.57,1.1
2000,10,13,26.44,24.35,25.37,3.57
